Epoch: (262), Loss : 4.776935230601918 , acc: 66.33522727272727%
Epoch: (263), Loss : 4.819083213806152 , acc: 65.71451822916667%
Epoch: (264), Loss : 5.117720352975946 , acc: 61.5491365131579%
Epoch: (265), Loss : 3.73046760559082 , acc: 75.859375%
Epoch: (266), Loss : 1.1521164178848267 , acc: 97.265625%
Epoch: (267), Loss : 4.597087012396918 , acc: 68.24001736111111%
Epoch: (268), Loss : 5.0892235251034 , acc: 61.60960477941176%
Epoch: (269), Loss : 3.616632843017578 , acc: 77.67578125%
Epoch: (270), Loss : 2.3235987027486167 , acc: 87.6953125%
Epoch: (271), Loss : 4.93929936335637 , acc: 62.90564903846154%
Epoch: (272), Loss : 3.579944610595703 , acc: 77.40234375%
Epoch: (273), Loss : 3.048460006713867 , acc: 81.73828125%
Epoch: (274), Loss : 5.122943115234375 , acc: 61.04003906249999%
Epoch: (275), Loss : 4.909808349609375 , acc: 64.140625%
Epoch: (276), Loss : 4.762746370755709 , acc: 65.69260817307692%
Epoch: (277), Loss : 4.478086853027344 , acc: 69.541015625%
Epoch: (278), Loss : 0.7878483533859253 , acc: 99.90234375%
Epoch: (279), Loss : 0.5984457731246948 , acc: 100.0%
Epoch: (280), Loss : 4.987041727701823 , acc: 62.74739583333333%
Epoch: (281), Loss : 1.4776275157928467 , acc: 92.822265625%
Epoch: (282), Loss : 0.9494119882583618 , acc: 96.77734375%
Epoch: (283), Loss : 4.959555053710938 , acc: 63.06640624999999%
Epoch: (284), Loss : 4.436312357584636 , acc: 68.359375%
Epoch: (285), Loss : 5.0865945255055145 , acc: 61.31089154411764%
Epoch: (286), Loss : 1.5501877069473267 , acc: 93.017578125%
Epoch: (287), Loss : 4.941118367513021 , acc: 63.60677083333333%
Epoch: (288), Loss : 0.8482558131217957 , acc: 98.53515625%
Epoch: (289), Loss : 5.014284919289982 , acc: 62.62063419117647%
Epoch: (290), Loss : 5.055529544228001 , acc: 62.01171875%
Epoch: (291), Loss : 4.766854506272536 , acc: 64.90384615384616%
Epoch: (292), Loss : 5.065711975097656 , acc: 62.16796875%
Epoch: (293), Loss : 4.9847128126356335 , acc: 62.619357638888886%
Epoch: (294), Loss : 4.775824955531529 , acc: 64.94838169642857%
Epoch: (295), Loss : 4.831971232096354 , acc: 64.4140625%
Epoch: (296), Loss : 4.662809812105619 , acc: 66.3837139423077%
Epoch: (297), Loss : 5.0357200622558596 , acc: 62.1435546875%
Epoch: (298), Loss : 3.618315887451172 , acc: 75.5859375%
Epoch: (299), Loss : 4.972381591796875 , acc: 62.65190972222222%
Epoch: (300), Loss : 4.6941363994891825 , acc: 66.03064903846155%
Epoch: (301), Loss : 0.886581540107727 , acc: 96.2890625%
Epoch: (302), Loss : 2.9404921531677246 , acc: 81.7138671875%
Epoch: (303), Loss : 4.488829803466797 , acc: 67.861328125%
Epoch: (304), Loss : 4.7253009251185825 , acc: 65.58314732142857%
Epoch: (305), Loss : 4.472889986905185 , acc: 68.52805397727273%
Epoch: (306), Loss : 4.875200608197381 , acc: 63.17210477941176%
Epoch: (307), Loss : 2.785914897918701 , acc: 83.3984375%
Epoch: (308), Loss : 4.843008041381836 , acc: 63.53759765625%
Epoch: (309), Loss : 0.35360878705978394 , acc: 100.0%
Epoch: (310), Loss : 4.448946866122159 , acc: 68.26171875%
Epoch: (311), Loss : 4.591647808368389 , acc: 66.45883413461539%
Epoch: (312), Loss : 4.784605979919434 , acc: 64.55078125%
Epoch: (313), Loss : 4.517605463663737 , acc: 67.96875%
Epoch: (314), Loss : 4.810759600471048 , acc: 64.29802389705883%
Epoch: (315), Loss : 4.822662777370876 , acc: 63.943142361111114%
Epoch: (316), Loss : 4.147376166449653 , acc: 71.26736111111111%
Epoch: (317), Loss : 2.595186948776245 , acc: 84.7900390625%
Epoch: (318), Loss : 4.230513000488282 , acc: 70.634765625%
Epoch: (319), Loss : 0.18978768587112427 , acc: 100.0%
Epoch: (320), Loss : 4.360313762318004 , acc: 68.99857954545455%
Epoch: (321), Loss : 3.91640567779541 , acc: 73.40087890625%
Epoch: (322), Loss : 1.7179476420084636 , acc: 90.72265625%
Epoch: (323), Loss : 4.51166311899821 , acc: 67.54557291666667%
Epoch: (324), Loss : 0.5323494672775269 , acc: 98.486328125%
Epoch: (325), Loss : 4.639329092843192 , acc: 66.259765625%
Epoch: (326), Loss : 4.222757720947266 , acc: 70.078125%
Epoch: (327), Loss : 4.202307891845703 , acc: 70.419921875%
Epoch: (328), Loss : 3.8762083053588867 , acc: 73.86474609375%
Epoch: (329), Loss : 3.8167974948883057 , acc: 74.18212890625%
Epoch: (330), Loss : 4.7312159220377605 , acc: 65.35807291666667%
Epoch: (331), Loss : 3.3256861368815103 , acc: 78.77604166666666%
Epoch: (332), Loss : 0.26742684841156006 , acc: 100.0%
Epoch: (333), Loss : 4.514054225041316 , acc: 67.11989182692308%
Epoch: (334), Loss : 4.83249945389597 , acc: 63.95970394736843%
Epoch: (335), Loss : 4.562726429530552 , acc: 66.87360491071428%
Epoch: (336), Loss : 4.859162180047286 , acc: 62.978001644736835%
Epoch: (337), Loss : 1.6048692067464192 , acc: 91.56901041666666%
Epoch: (338), Loss : 4.334150834517046 , acc: 68.62571022727273%
Epoch: (339), Loss : 4.758821824017693 , acc: 64.18313419117648%
Epoch: (340), Loss : 0.5674456357955933 , acc: 98.4375%
Epoch: (341), Loss : 4.836704454923931 , acc: 63.18359375%
Epoch: (342), Loss : 4.8109693025287825 , acc: 63.8671875%
Epoch: (343), Loss : 0.6057559847831726 , acc: 97.412109375%
Epoch: (344), Loss : 4.803887261284722 , acc: 63.26497395833333%
Epoch: (345), Loss : 3.811004400253296 , acc: 74.1943359375%
Epoch: (346), Loss : 4.842009735107422 , acc: 63.59375000000001%
Epoch: (347), Loss : 3.5566319056919644 , acc: 75.96261160714286%
Epoch: (348), Loss : 4.746760898166233 , acc: 64.50737847222221%
Epoch: (349), Loss : 4.75838229530736 , acc: 64.59189967105263%
Epoch: (350), Loss : 4.105080413818359 , acc: 71.044921875%
Epoch: (351), Loss : 3.9195378621419272 , acc: 72.64539930555556%
Epoch: (352), Loss : 2.6917041778564452 , acc: 84.2578125%
Epoch: (353), Loss : 0.32586658000946045 , acc: 99.31640625%
Epoch: (354), Loss : 3.957569546169705 , acc: 72.50434027777779%
Epoch: (355), Loss : 4.820771959092882 , acc: 63.449435763888886%
Epoch: (356), Loss : 4.525463358561198 , acc: 66.62760416666667%
Epoch: (357), Loss : 1.0266465346018474 , acc: 95.86588541666666%
Epoch: (358), Loss : 4.742606268988715 , acc: 64.17100694444444%
Epoch: (359), Loss : 4.028837966918945 , acc: 71.85546875%
Epoch: (360), Loss : 3.6450672149658203 , acc: 75.06103515625%
Epoch: (361), Loss : 4.123306967995384 , acc: 70.76526988636364%
Epoch: (362), Loss : 4.118397105823863 , acc: 71.01384943181819%
Epoch: (363), Loss : 3.2776173182896207 , acc: 78.69698660714286%
Epoch: (364), Loss : 4.763530931974712 , acc: 63.995682565789465%
Epoch: (365), Loss : 2.458476448059082 , acc: 85.3515625%
Epoch: (366), Loss : 3.2680533272879466 , acc: 78.72488839285714%
Epoch: (367), Loss : 4.483330790201823 , acc: 67.24609375%
Epoch: (368), Loss : 4.7265175267269735 , acc: 64.70497532894737%
Epoch: (369), Loss : 4.73845100402832 , acc: 64.16015625%
Epoch: (370), Loss : 4.449431864420573 , acc: 67.66927083333334%
Epoch: (371), Loss : 0.4187632203102112 , acc: 98.779296875%
Epoch: (372), Loss : 3.255481175013951 , acc: 79.12946428571428%
Epoch: (373), Loss : 3.7332288953993054 , acc: 73.88237847222221%
Epoch: (374), Loss : 2.1950931549072266 , acc: 87.59765625%
Epoch: (375), Loss : 0.5747567415237427 , acc: 98.828125%
Epoch: (376), Loss : 3.9433292388916015 , acc: 72.294921875%
Epoch: (377), Loss : 4.7280731201171875 , acc: 63.63389756944444%
Epoch: (378), Loss : 4.252905625563401 , acc: 69.48617788461539%
Epoch: (379), Loss : 3.8710914611816407 , acc: 73.017578125%
Epoch: (380), Loss : 3.4177098274230957 , acc: 77.0751953125%
Epoch: (381), Loss : 3.659612867567274 , acc: 74.76128472222221%
Epoch: (382), Loss : 1.455458402633667 , acc: 93.26171875%
Epoch: (383), Loss : 4.747385787963867 , acc: 64.0185546875%
Epoch: (384), Loss : 4.71949577331543 , acc: 63.76464843750001%
Epoch: (385), Loss : 4.6099132961697045 , acc: 65.13671875%
Epoch: (386), Loss : 0.6239607334136963 , acc: 97.62369791666666%
Epoch: (387), Loss : 3.372560501098633 , acc: 77.38037109375%
Epoch: (388), Loss : 4.477477010091146 , acc: 66.640625%
Epoch: (389), Loss : 4.475344848632813 , acc: 66.88802083333334%
Epoch: (390), Loss : 1.5031349658966064 , acc: 91.8701171875%
Epoch: (391), Loss : 0.44109920660654706 , acc: 98.92578125%
Epoch: (392), Loss : 3.647986094156901 , acc: 74.04513888888889%
Epoch: (393), Loss : 1.3529026508331299 , acc: 93.408203125%
Epoch: (394), Loss : 4.483432769775391 , acc: 66.2841796875%
Epoch: (395), Loss : 4.228887285505023 , acc: 69.20340401785714%
Epoch: (396), Loss : 4.42075252532959 , acc: 67.303466796875%
Epoch: (397), Loss : 4.40255069732666 , acc: 67.083740234375%
Epoch: (398), Loss : 4.529342227511936 , acc: 66.27604166666667%
Epoch: (399), Loss : 3.3289833068847656 , acc: 77.587890625%
Epoch: (400), Loss : 3.7228370666503907 , acc: 74.658203125%
Epoch: (401), Loss : 4.227568217686245 , acc: 68.77092633928572%
Epoch: (402), Loss : 0.7672237753868103 , acc: 96.38671875%
Epoch: (403), Loss : 3.585968017578125 , acc: 75.17361111111111%
Epoch: (404), Loss : 0.21926219761371613 , acc: 99.609375%
Epoch: (405), Loss : 2.949120112827846 , acc: 81.47321428571428%
Epoch: (406), Loss : 4.761654663085937 , acc: 63.7939453125%
Epoch: (407), Loss : 4.387239456176758 , acc: 67.547607421875%
